2023/12/14 15:36:38 [error] 7400#19600: *2703 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10050", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/post.php?post=43&action=edit"
2023/12/14 15:36:40 [error] 7400#19600: *2703 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: ::1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10051", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/post.php?post=43&action=edit"
2023/12/14 15:36:44 [error] 7400#19600: *2713 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/edit.php?post_type=acf-taxonomy HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/post.php?post=43&action=edit"
2023/12/14 15:36:44 [error] 7400#19600: *2713 no live upstreams while connecting to upstream, client: ::1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/post.php?post=43&action=edit"
2023/12/14 15:36:44 [error] 7400#19600: *2713 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/edit.php?post_type=acf-taxonomy"
2023/12/14 15:36:46 [error] 7400#19600: *2715 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/post.php?post=43&action=edit HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/edit.php?post_type=acf-taxonomy"
2023/12/14 15:36:46 [error] 7400#19600: *2715 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/post.php?post=43&action=edit"
2023/12/14 15:36:47 [error] 7400#19600: *2715 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/edit.php?post_type=acf-taxonomy"
2023/12/14 15:36:48 [error] 7400#19600: *2715 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/edit.php?post_type=acf-field-group HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/post.php?post=97&action=edit"
2023/12/14 15:36:48 [error] 7400#19600: *2715 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052", referrer: "http://localhost:10052/wp-admin/edit.php?post_type=acf-field-group"
2023/12/14 15:36:49 [error] 7400#19600: *2718 no live upstreams while connecting to upstream, client: ::1, server: , request: "POST /wp-cron.php?doing_wp_cron=1702564609.8165810108184814453125 HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10052"
